Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1079498.625,1.99619610309601,573.449476318359,0.00219333171844482,0.01272196713835
1079517.25,1.99641850948334,1511.19056640625,0.00219333171844482,0.0222476942837238
1079536.265,1.99659217357636,2457.21405273437,0.00219333171844482,0.0380295321345329
1079554.781,1.99671105861664,3384.8148046875,0.00219333171844482,0.058549188375473
1079573.531,1.9970001411438,4315.16421875,0.00219333171844482,0.0818955710530281
1079592.234,1.99719223976135,5237.68095703125,0.00219333171844482,0.101091538965702
1079610.453,1.99726628303528,6169.01189453125,0.00219333171844482,0.116937426924706
1079629.328,1.99739875793457,7104.47822265625,0.00219333171844482,0.127749208211899
1079647.859,1.99745005130768,8033.4486328125,0.00219333171844482,0.134943234324455
1079666.546,1.99748135089874,8956.21734375,0.00219333171844482,0.139855946302414
1079685.125,1.99742267131805,9896.3764453125,0.00219333171844482,0.143471905589104
1079703.734,1.99754065990448,10824.9855859375,0.00219333171844482,0.146280789375305
1079722.312,1.99750518321991,11743.0162890625,0.00219333171844482,0.148066190481186
1079740.609,1.99757422447205,12671.209921875,0.00219333171844482,0.148828690052032
1079759.421,1.99764174938202,13633.9356640625,0.00219333171844482,0.149304644465446
1079778.64,1.99766613960266,14570.00609375,0.00219333171844482,0.149321413040161
1079797.281,1.99769691467285,15493.920546875,0.00219333171844482,0.149233294725418
1079815.89,1.99766708374023,16433.8216796875,0.00219333171844482,0.149255958795547
1079834.375,1.99757925987244,17365.5603125,0.00219333171844482,0.149363742470741
1079853.203,1.99760336875916,18306.769140625,0.00219333171844482,0.149474277496338
1079871.968,1.99762907981873,19241.7059375,0.00219333171844482,0.149451278448105
1079890.546,1.99729964256287,19983.74625,0.00219333171844482,0.149352840781212
1079909.171,1.9973327589035,19999.729140625,0.00219333171844482,0.149801374077797
1079927.484,1.99738580226898,19999.741875,0.00219333171844482,0.149547877311707
1079946.406,1.997452917099,19999.73796875,0.00219333171844482,0.149478317499161
1079964.687,1.99756032466888,19999.7453125,0.00219333171844482,0.149432612061501
1079983.375,1.99767048835754,19999.74578125,0.00219333171844482,0.149440702795982
1080001.968,1.99773332595825,19999.74,0.00219333171844482,0.149552513360977
1080020.578,1.9978413772583,19999.73171875,0.00219333171844482,0.149247829318047
1080038.953,1.99785627841949,19999.719765625,0.00219333171844482,0.149405065774918
1080057.64,1.99795018672943,19999.71875,0.00219333171844482,0.149365327358246
1080076.265,1.99801445007324,19999.70765625,0.00219333171844482,0.149463487863541
1080094.796,1.99808405399323,19999.70625,0.00219333171844482,0.149336183667183
1080113.109,1.9981803894043,19999.70296875,0.00219333171844482,0.149306424856186
