Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms)
923098.328,299.445750732422,-0.106043915897608,0.240129495859146
923229.797,297.643994140625,-0.116212511062622,0.238977043032646
923295.36,295.594549560547,-0.113791417479515,0.237784982323647
923358.203,293.562478027344,-0.107980791032314,0.23662892639637
923419.282,291.579508056641,-0.131707511842251,0.235905329585075
923480.875,289.580708007813,-0.111370323002338,0.234794773459435
923542.438,287.574270019531,-0.114275635629892,0.233824925422668
923603.532,285.5658203125,-0.124928449392319,0.232702928185463
923665.407,283.532369384766,-0.103622821867466,0.231796736121178
923725.328,281.565999755859,-0.120086261928082,0.230629166960716
923785.438,279.564959716797,-0.0944226649403572,0.229899012446404
923846.235,277.554733886719,-0.0779592248052359,0.228875809907913
923907.375,275.536149902344,-0.0702117244899273,0.227652566432953
923967.282,273.573658447266,0.244530491232872,0.226860770583153
924027.016,271.572470703125,-0.214024707078934,0.225792254209518
924087.313,269.577120361328,-0.228551269173622,0.224707459807396
924147.578,267.552059326172,-0.236782990694046,0.223707783222198
924207.641,265.57154296875,-0.223224863409996,0.222948756814003
924267.969,263.556790771484,-0.228067052960396,0.222025920748711
924328.391,261.561271972656,-0.210635176897049,0.221080325841904
924387.813,259.570201416016,-0.203371893167496,0.22021376311779
924447.625,257.565294189453,-0.207245643138885,0.219276080131531
924508.157,255.549705810547,-0.189813766479492,0.218375754952431
924567.641,253.553807983398,-0.187876889705658,0.217469149827957
924627.141,251.583642578125,-0.206761425733566,0.21669741332531
924687.61,249.563507080078,-0.193687515854836,0.215654879808426
924746.797,247.579294433594,-0.192234859466553,0.214668459296226
924807.719,245.550537719727,-0.207245644330978,0.21388911485672
924866.641,243.569470214844,-0.17722407579422,0.213055524230003
924927.547,241.536573486328,-0.162697512805462,0.212263301610947
924986.828,239.567918701172,-0.176739858984947,0.211437735557556
925046.547,237.569582519531,-0.173350325226784,0.210396369695663
925106.813,235.578530273438,-0.184971577525139,0.209663544297218
925167.297,233.544033203125,-0.180129389166832,0.20882372379303
925226.422,231.574494628906,-0.158823763132095,0.207950663566589
925286.813,229.575878295898,-0.171897668838501,0.207228957414627
925347.438,227.547894287109,-0.166571261882782,0.206454786062241
925406.594,225.573640136719,-0.173350327014923,0.205617024302483
925466.563,223.573573608398,-0.164634386599064,0.204731170535088
925527.328,221.544404296875,-0.148655167818069,0.204012016654015
