Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms)
993792.281,1.99972726821899,-0.160276418626308,0.00768423577770591
993823.64,1.99940906047821,499.743797607422,0.0121681614592671
993855.234,1.99946719169617,999.80474609375,0.0153272783383727
993886.562,1.99951400756836,1499.83130859375,0.0211431190371513
993918.015,1.99484697341919,1999.87970703125,0.0297389386594295
993950.671,2.00004445552826,2499.74307617188,0.0380176006257534
993982.093,1.99995851039886,2999.84099609375,0.0481638306379318
994013.515,2.00135497093201,3499.89895507812,0.0599335852265358
994044.75,1.99963701248169,3999.84318359375,0.0723141130805016
994076.328,1.99957139015198,4499.87669921875,0.0844330981373787
994107.609,1.99955553531647,4999.795,0.0956852000951767
994139.093,1.99890535354614,5499.770390625,0.105315743684769
994171.343,1.99896595001221,5999.76564453125,0.114169290959835
994202.484,2.00008723735809,6499.81392578125,0.121073377728462
994233.812,2.00546384811401,6999.75439453125,0.126867759525776
994265.203,1.99976982116699,7499.838671875,0.130537216663361
994297.203,1.99958347320557,7999.755859375,0.134094216227531
994328.453,1.9994992017746,8499.7765234375,0.136718574762344
994359.796,1.98657339572907,8999.9487109375,0.138804520964623
994392.437,2.00035904407501,9499.7872265625,0.14151914536953
994423.875,1.99986074924469,9999.714609375,0.143318282365799
994455.187,2.00915697574615,10499.7281640625,0.145017765164375
994486.796,1.99884999752045,10999.9103515625,0.14613904774189
994518.484,1.99937479496002,11499.8058984375,0.147221162319183
994549.562,1.99937280654907,11999.9555859375,0.147997083067894
994580.89,1.99940002918243,12499.9601953125,0.148625393509865
994612.046,1.99719770431519,12999.9441015625,0.148637074828148
994643.437,1.99981173038483,13499.8264453125,0.149072760343552
994674.781,1.99999439716339,13999.8184765625,0.1490739351511
994707.343,1.99817583084106,14499.7828515625,0.149134618639946
994738.656,1.99951022624969,14999.83171875,0.149221407175064
994770.765,1.99896761417389,15499.714453125,0.149496776461601
994802.093,1.99768883228302,15999.7058984375,0.149477334618568
994833.625,1.99943520545959,16499.757734375,0.149485474824905
994865.359,2.000263671875,16999.81671875,0.149592286348343
994897.156,1.99983942985535,17499.7990625,0.149553444981575
994929.343,1.99741851806641,17999.806015625,0.149485883116722
994960.64,1.9988067150116,18499.918671875,0.149566839933395
994992.39,2.00080969333649,18999.796328125,0.149306767582893
995023.703,1.99719969749451,19499.880234375,0.149395498037338
995055.203,2.00252508163452,19999.90640625,0.149579456448555
