Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms)
991502.718,1.99826801776886,-0.0953911012411118,0.00740139370784164
991534.359,1.998210272789,499.937000732422,0.0126401897519827
991566.14,1.99838121891022,999.84060546875,0.0203840776532888
991597.421,1.99845348358154,1499.73207519531,0.0309381740540266
991628.875,1.99852917194366,1999.7649609375,0.0446053095161915
991660.218,1.99852742195129,2499.81956054688,0.060148551017046
991691.968,1.99861346721649,2999.75564453125,0.0760336902737618
991722.984,1.99851627349854,3499.92993164063,0.0890144994854927
991754.718,1.9986440038681,4000.09502929688,0.0996060121059418
991785.906,1.99869055747986,4499.74638671875,0.107600376009941
991817.406,1.99887356281281,4999.81732421875,0.113670582175255
991848.796,1.99887361526489,5499.80287109375,0.118988841772079
991880.25,1.99895952224731,5999.78310546875,0.123433443009853
991912.328,1.99886940479279,6499.8226171875,0.126659348011017
991944.14,1.99905119419098,6999.8913671875,0.128758718371391
991975.406,1.99900616168976,7499.995234375,0.130611525774002
992006.968,1.99899959564209,7999.73791015625,0.131830694079399
992038.046,1.99902002334595,8499.90703125,0.132929726839066
992069.453,1.99907799720764,8999.7519921875,0.133731293082237
992100.703,1.9991200876236,9499.772734375,0.134806891083717
992132.312,1.99919507980347,9999.70453125,0.135494709610939
992163.812,1.99915836334229,10499.71515625,0.13624441742897
992195.296,1.99912713527679,10999.7438671875,0.137113781571388
992226.687,1.99929612636566,11499.7581640625,0.138030369281769
992258.234,1.99927606105804,11999.7367578125,0.138897455334663
992289.625,1.99930879116058,12499.7651171875,0.139296382665634
992321.125,1.99932608604431,12999.7394140625,0.140037592053413
992352.562,1.99937411785126,13500.083515625,0.140430152416229
992384.14,1.99943514347076,13999.901328125,0.141061601042748
992416.484,1.99931417942047,14499.686796875,0.141059008836746
992448.218,1.99938465118408,14999.773828125,0.141287439465523
992479.359,1.99953627586365,15499.7386328125,0.141563764214516
992511.031,1.99944561004639,15999.7316015625,0.141779073476791
992542.718,1.99944295406342,16499.728125,0.141965745091438
992574.218,1.99956257343292,16999.7546875,0.142258362770081
992605.531,1.99946145534515,17499.710703125,0.142459769845009
992637.14,1.99953472137451,17999.713125,0.142724437117577
992668.578,1.99956336021423,18499.825234375,0.142795833349228
992700.781,1.99956140041351,18999.692734375,0.142886245250702
992732.109,1.9995550775528,19499.78703125,0.143107018470764
992763.718,1.99960396766663,19999.817421875,0.143010033965111
