Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistance (Ohms)
1006829.718,2.09866396903992,1999.85548828125,-5.00444316864014,0.0429080954194069
1006849.812,2.09890055656433,1999.84481445313,-2.00577354431152,0.0410709550976753
1006869.687,2.09908429145813,1999.85982421875,0.986247301101685,0.0392348280549049
1006889.875,2.09901955604553,1999.83319335937,3.97826814651489,0.0378149108588696
1006910.109,2.09163535118103,1999.8458203125,6.97028923034668,0.035734536126256
1006931.671,2.09890670776367,1999.84290039062,9.95566177368164,0.03482362896204
1006951.687,2.09946650505066,1999.83952148437,12.9476833343506,0.0329891300201416
1006971.531,2.09930620193481,1999.83418945313,15.9397048950195,0.0321402470767498
1006991.312,2.10213934898376,1999.8288671875,18.9317264556885,0.0322433114051819
1007012.281,2.1020913028717,1999.77272460938,21.9237480163574,0.0317871376127005
1007032.171,2.09921441078186,1999.74948242188,24.9157695770264,0.0317952940613031
1007051.937,2.0992458820343,1999.82354492188,27.9077911376953,0.0325034086406231
1007072.234,2.09918097496033,1999.8264453125,30.8931636810303,0.0334440450370312
1007091.906,2.09922095298767,1999.80515625,33.8851852416992,0.0346155774593353
1007111.5,2.099304895401,1999.80564453125,36.8772087097168,0.036713725477457
1007131.546,2.09195515632629,1999.80322265625,39.8692321777344,0.0384292966127396
1007153.921,2.09994410514832,1999.81098632813,42.861255645752,0.0413068601489067
1007173.921,2.0998602771759,1999.825,45.8532791137695,0.0432811659574509
1007193.656,2.0996889591217,1999.82838867188,48.8453025817871,0.0447545218467712
1007213.703,2.10184432983398,1999.80948242187,51.8306770324707,0.0481936429440975
1007233.406,2.10145832061768,1999.82403320313,54.8227005004883,0.0504838635027409
1007253.609,2.09956148147583,1999.81920898438,57.8147239685059,0.0522063095867634
1007273.312,2.09958168029785,1999.81047851562,60.8067474365234,0.0535421355068684
1007293.265,2.09969841957092,1999.8211328125,63.798770904541,0.055079408288002
1007313.093,2.09950932502747,1999.82403320313,66.7907943725586,0.0560586299002171
1007333.75,2.09950295448303,1999.82693359375,69.7828216552734,0.0565487067401409
1007354.031,2.09164596557617,1999.82645507813,72.768196105957,0.0554850873351097
1007376.078,2.09958338737488,1999.82645507813,75.7602233886719,0.0567942133545876
1007395.921,2.10011267662048,1999.79307617188,78.7522506713867,0.0571446250379086
1007415.843,2.09985632896423,1999.81581054687,81.7442779541016,0.0576646821200848
1007436.062,2.10494647026062,1999.80275390625,84.7363052368164,0.0598235189914703
1007455.906,2.10201872825623,1999.79063476563,87.7283325195313,0.0589359351992607
1007475.718,2.09955856323242,1999.80227539063,90.7203598022461,0.0596356818079948
1007495.515,2.09963926315308,1999.8046875,93.7057342529297,0.0603439110517502
1007515.687,2.09968587875366,1999.8046875,96.6977615356445,0.0611103221774101
1007535.89,2.09969896316528,1999.80419921875,99.6897888183594,0.0619944037497044
1007555.687,2.09968082427979,1999.79061523438,102.681816101074,0.0629142923653126
1007576.5,2.09032920837402,1999.79934570313,105.673843383789,0.0626903359591961
1007597.953,2.09999853134155,1999.812421875,108.665870666504,0.0646771650016308
1007618,2.10038661956787,1999.78240234375,111.657897949219,0.0660856428742409
1007637.765,2.10033159255981,1999.80080078125,114.643272399902,0.0672620257735252
1007657.64,2.107135887146,1999.79935546875,117.635299682617,0.0694804367423058
1007677.968,2.10133702278137,1999.817265625,120.627326965332,0.068338515162468
1007698.14,2.09938230514526,1999.83272460938,123.619354248047,0.0688112702965736
1007717.828,2.09968933105469,1999.81821289063,126.611381530762,0.0687725561857224
1007737.75,2.09953969955444,1999.8066015625,129.603408813477,0.0683278721570969
1007757.796,2.09956085205078,1999.79984375,132.595443725586,0.0680409297347069
1007777.562,2.09994973182678,1999.80419921875,135.580825805664,0.0671445262432098
1007798,2.09120623588562,1999.81336914062,138.572860717773,0.0650089436769486
1007819.375,2.10010059356689,1999.81434570312,141.564895629883,0.0644187563657761
1007839.39,2.10034944534302,1999.79208984375,144.556930541992,0.0628905571997166
1007859.343,2.10053714752197,1999.78967773437,147.548965454102,0.0611788232624531
1007880.093,2.10841099739075,1999.79791992188,150.541000366211,0.0608056841790676
1007900.125,2.0989594745636,1999.81002929688,153.53303527832,0.0580355858802795
1007920,2.10038765907288,1999.78625976562,156.518417358398,0.0565549965202808
1007940.218,2.09989119529724,1999.8008203125,159.510452270508,0.0552676999568939
1007960.562,2.09980164527893,1999.76981445313,162.502487182617,0.0531191059947014
1007980.703,2.09993320465088,1999.74896972656,165.494522094727,0.0513257630169392
1008000.921,2.09996421813965,1999.79404296875,168.486557006836,0.0493233427405357
1008021.078,2.10570439338684,1999.80177734375,171.478591918945,0.0473290994763374
1008041.843,2.09938405036926,1999.7911328125,174.470626831055,0.0450503557920456
1008061.859,2.100785779953,1999.79743164063,177.456008911133,0.0431859560310841
